"","Death_ID","Death_Date","final_lat","final_lon","Hurricane","TIC"
"382322","1985_59689",1985-08-29,26.162221,-81.792021,"ELENA",-3
"382323","1985_59690",1985-08-29,30.77557,-85.239172,"ELENA",-3
"382324","1985_59691",1985-08-29,27.984219,-82.436582,"ELENA",-3
"382325","1985_59692",1985-08-29,27.971151,-82.447738,"ELENA",-3
"382326","1985_59693",1985-08-29,26.004741,-80.209721,"ELENA",-3
"382327","1985_59694",1985-08-29,26.137899,-80.262145,"ELENA",-3
"382328","1985_59695",1985-08-29,26.169948,-80.102702,"ELENA",-3
"382329","1985_59696",1985-08-29,26.160078,-80.275092,"ELENA",-3
"382330","1985_59697",1985-08-29,26.114959,-80.177973,"ELENA",-3
"382331","1985_59698",1985-08-29,25.978358,-80.120052,"ELENA",-3
"382332","1985_59699",1985-08-29,26.386754,-80.173418,"ELENA",-3
"382335","1985_59702",1985-08-29,29.247463,-81.021111,"ELENA",-3
"382337","1985_59704",1985-08-29,27.079534,-80.145451,"ELENA",-3
"382338","1985_59705",1985-08-29,26.636572,-80.113446,"ELENA",-3
"382339","1985_59706",1985-08-29,28.766628,-81.291734,"ELENA",-3
"382340","1985_59707",1985-08-29,28.477279,-81.318026,"ELENA",-3
"382341","1985_59708",1985-08-29,25.746379,-80.267342,"ELENA",-3
"382343","1985_59710",1985-08-29,25.692777,-80.165435,"ELENA",-3
"382344","1985_59711",1985-08-29,25.845053,-80.146211,"ELENA",-3
"382345","1985_59712",1985-08-29,25.624438,-80.363075,"ELENA",-3
"382346","1985_59713",1985-08-29,25.934713,-80.135731,"ELENA",-3
"382347","1985_59714",1985-08-29,25.951373,-80.16656,"ELENA",-3
"382348","1985_59715",1985-08-29,25.960591,-80.198622,"ELENA",-3
"382349","1985_59716",1985-08-29,25.745943,-80.243411,"ELENA",-3
"382350","1985_59717",1985-08-29,25.932913,-80.225981,"ELENA",-3
"382351","1985_59718",1985-08-29,25.810648,-80.216602,"ELENA",-3
"382352","1985_59719",1985-08-29,25.839241,-80.222459,"ELENA",-3
"382353","1985_59720",1985-08-29,25.703518,-80.307863,"ELENA",-3
"382354","1985_59721",1985-08-29,25.90369,-80.189029,"ELENA",-3
"382355","1985_59722",1985-08-29,25.772651,-80.135967,"ELENA",-3
"382356","1985_59723",1985-08-29,26.199181,-80.238527,"ELENA",-3
"382357","1985_59724",1985-08-29,27.534814,-81.814202,"ELENA",-3
"382358","1985_59725",1985-08-29,30.58753,-84.606019,"ELENA",-3
"382359","1985_59726",1985-08-29,25.886759,-80.197722,"ELENA",-3
"382360","1985_59727",1985-08-29,26.166343,-80.14859,"ELENA",-3
"382361","1985_59728",1985-08-29,25.789817,-80.237824,"ELENA",-3
"382362","1985_59729",1985-08-29,25.780156,-80.218472,"ELENA",-3
"382363","1985_59730",1985-08-29,29.244405,-81.050304,"ELENA",-3
"382364","1985_59731",1985-08-29,28.159343,-81.975961,"ELENA",-3
"382365","1985_59732",1985-08-29,28.164579,-81.848703,"ELENA",-3
"382366","1985_59733",1985-08-29,26.599614,-80.061683,"ELENA",-3
"382367","1985_59734",1985-08-29,26.511739,-80.083982,"ELENA",-3
"382368","1985_59735",1985-08-29,28.659124,-81.279278,"ELENA",-3
"382369","1985_59736",1985-08-29,28.574299,-81.479722,"ELENA",-3
"382370","1985_59737",1985-08-29,27.997311,-82.472516,"ELENA",-3
"382372","1985_59739",1985-08-29,26.262754,-80.237965,"ELENA",-3
"382373","1985_59740",1985-08-29,25.848968,-80.173643,"ELENA",-3
"382374","1985_59741",1985-08-29,25.83592,-80.192382,"ELENA",-3
"382375","1985_59742",1985-08-29,25.767689,-80.205852,"ELENA",-3
"382376","1985_59743",1985-08-29,26.502543,-80.081411,"ELENA",-3
"382377","1985_59744",1985-08-29,28.03346,-82.500803,"ELENA",-3
"382378","1985_59745",1985-08-29,28.016958,-82.132191,"ELENA",-3
"382379","1985_59746",1985-08-29,28.03918,-82.459327,"ELENA",-3
"382380","1985_59747",1985-08-29,28.325301,-80.738062,"ELENA",-3
"382381","1985_59748",1985-08-29,26.107304,-80.153422,"ELENA",-3
"382382","1985_59749",1985-08-29,26.196465,-80.097802,"ELENA",-3
"382383","1985_59750",1985-08-29,26.108168,-80.135612,"ELENA",-3
"382384","1985_59751",1985-08-29,26.135682,-80.12195,"ELENA",-3
"382387","1985_59754",1985-08-29,25.756718,-80.225672,"ELENA",-3
"382388","1985_59755",1985-08-29,25.84896,-80.184702,"ELENA",-3
"382389","1985_59756",1985-08-29,25.892928,-80.167192,"ELENA",-3
"382390","1985_59757",1985-08-29,25.772717,-80.132381,"ELENA",-3
"382391","1985_59758",1985-08-29,25.853148,-80.127813,"ELENA",-3
"382392","1985_59759",1985-08-29,25.440437,-80.482687,"ELENA",-3
"382393","1985_59760",1985-08-29,29.097264,-81.034838,"ELENA",-3
"382394","1985_59761",1985-08-29,29.242777,-81.058432,"ELENA",-3
"382395","1985_59762",1985-08-29,28.603643,-81.259212,"ELENA",-3
"382396","1985_59763",1985-08-29,28.641926,-81.230353,"ELENA",-3
"382397","1985_59764",1985-08-29,28.87783,-81.247881,"ELENA",-3
"382402","1985_59769",1985-08-29,27.366698,-81.409036,"ELENA",-3
"382405","1985_59772",1985-08-29,25.990086,-80.150719,"ELENA",-3
"382406","1985_59773",1985-08-29,26.369374,-80.1777,"ELENA",-3
"382407","1985_59774",1985-08-29,30.472723,-87.265523,"ELENA",-3
"382410","1985_59777",1985-08-29,26.217487,-80.198091,"ELENA",-3
"382411","1985_59778",1985-08-29,26.176533,-80.212285,"ELENA",-3
